name,createdAt,tick,leftPoint,rightPoint,angleOfVector,lengthOfVector,differenceX,differenceY,meanX,meanY
eye,1580312719830,380,"{""x"":137.03320785799792,""y"":110.12418138521008}","{""x"":180.43589341852714,""y"":100.82704745555841}",-12.090413284463523,44.387270846179,43.40268556052922,-9.297133929651665,158.73455063826253,105.47561442038425
eye,1580312719914,381,"{""x"":143.43043901870797,""y"":109.30407428458466}","{""x"":186.0713840832696,""y"":103.99302339412338}",-7.099788850075176,42.97042538258183,42.640945064561635,-5.311050890461274,164.7509115509888,106.64854883935402
eye,1580312719996,382,"{""x"":146.10168195301418,""y"":108.22914593297577}","{""x"":187.74188537767452,""y"":106.7399219546898}",-2.048258417729576,41.66682528468658,41.64020342466034,-1.4892239782859633,166.92178366534435,107.48453394383279
eye,1580312720088,383,"{""x"":147.21513887099061,""y"":108.00749394447936}","{""x"":190.43827637154556,""y"":110.50321402960077}",3.304610475076493,43.29512945049544,43.22313750055494,2.4957200851214054,168.8267076212681,109.25535398704007
eye,1580312720181,384,"{""x"":147.88729646474744,""y"":108.72173933034833}","{""x"":190.8789934248882,""y"":111.77703967787744}",4.065017385030389,43.10012607552544,42.99169696014076,3.055300347529112,169.38314494481781,110.24938950411288
eye,1580312720267,385,"{""x"":148.25596614195263,""y"":108.73361753356207}","{""x"":191.41940607515218,""y"":111.60981679882423}",3.812273045455144,43.25916167796621,43.163439933199555,2.8761992652621586,169.83768610855242,110.17171716619315
eye,1580312720352,386,"{""x"":147.54500187469168,""y"":108.7623112053121}","{""x"":190.213926759601,""y"":112.20537415456346}",4.613345062010874,42.80761419778661,42.66892488490933,3.443062949251356,168.87946431714636,110.48384267993778
eye,1580312720437,387,"{""x"":147.1777610603709,""y"":108.94607010227281}","{""x"":189.81381069375783,""y"":112.05009655782658}",4.163950453377359,42.74889131401435,42.63604963338693,3.1040264555537647,168.49578587706435,110.4980833300497
eye,1580312720517,388,"{""x"":145.9589666209518,""y"":109.84194829697424}","{""x"":188.2761059854434,""y"":112.11937272159565}",3.080573223780762,42.378378284257955,42.317139364491595,2.2774244246214153,167.1175363031976,110.98066050928495
eye,1580312720600,389,"{""x"":145.0164223424759,""y"":110.70243610472636}","{""x"":187.22737049561226,""y"":112.6100786864227}",2.5876118097354768,42.25403228339596,42.21094815313637,1.9076425816963365,166.12189641904408,111.65625739557453
eye,1580312720683,390,"{""x"":138.90848407688765,""y"":113.25273393806435}","{""x"":180.25751505690442,""y"":113.49919649401474}",0.3415097451920781,41.3497654984629,41.34903098001678,0.24646255595038724,159.58299956689604,113.37596521603955
eye,1580312720763,391,"{""x"":130.35359226670172,""y"":112.73247760551973}","{""x"":172.42157931143876,""y"":116.3131866907861}",4.865129504512676,42.22010198411975,42.06798704473704,3.5807090852663634,151.38758578907024,114.52283214815292
eye,1580312720847,392,"{""x"":125.39844324327012,""y"":114.30348083597968}","{""x"":163.3004869600255,""y"":116.37843807797756}",3.1335443943702193,37.958798261575076,37.90204371675537,2.074957241997879,144.3494651016478,115.34095945697862
eye,1580312720930,393,"{""x"":116.6774875537578,""y"":114.13240144090057}","{""x"":155.56291528696124,""y"":117.91397432049939}",5.554496635403984,39.06887230824438,38.88542773320344,3.7815728795988264,136.12020142035954,116.02318788069998
eye,1580312721012,394,"{""x"":110.92526571333232,""y"":115.62238449300432}","{""x"":150.32598800616734,""y"":120.63475967090278}",7.2499573718760075,39.71826811583202,39.40072229283501,5.012375177898463,130.62562685974984,118.12857208195355
eye,1580312721118,395,"{""x"":103.83202635994297,""y"":117.68137550919982}","{""x"":141.38032113621426,""y"":122.16922289115385}",6.815773426131228,37.81554197323468,37.54829477627129,4.487847381954026,122.60617374807862,119.92529920017684
eye,1580312721225,396,"{""x"":99.96958545902717,""y"":119.5577188599357}","{""x"":136.2379998297649,""y"":123.18572908622221}",5.712421269279824,36.44942165754588,36.26841437073773,3.6280102262865057,118.10379264439604,121.37172397307896
eye,1580312721325,397,"{""x"":98.26078987493005,""y"":120.22497954778925}","{""x"":134.4329834069272,""y"":123.9682808941125}",5.908257284305725,36.36536662658087,36.17219353199715,3.74330134632325,116.34688664092863,122.09663022095087
eye,1580312721421,398,"{""x"":96.75142691945464,""y"":121.3768179692571}","{""x"":132.6408383372276,""y"":125.38585039699112}",6.373810938226597,36.11263204089109,35.88941141777295,4.009032427734013,114.69613262834112,123.38133418312411
